,created_by,created_date,deleted_by,deleted_date,is_deleted,modified_by,modified_date,incident_count,incident_date_gmt,incident_date_local,incident_hour_gmt,incident_hour_local,incident_label_count,incident_val_avg,incident_val_max,incident_val_min,incident_val_sum,camera_id,city_id,customer_id,incident_id,location_id,subsite_id,usecase_id,zone_id
85,1,1698913022000,1,1698913022000,0,1,1698913022000,3,2023-11-01,2023-11-01,05,05,3,1.0,1,1,3,8,4.0,2,3,4,4,4,4
86,1,1698913022000,1,1698913022000,0,1,1698913022000,8,2023-11-01,2023-11-01,06,06,8,1.0,1,1,8,8,4.0,2,3,4,4,4,4
87,1,1698913022000,1,1698913022000,0,1,1698913022000,6,2023-11-01,2023-11-01,07,07,6,1.1666666666666667,2,1,7,8,4.0,2,3,4,4,4,4
88,1,1698913022000,1,1698913022000,0,1,1698913022000,10,2023-11-01,2023-11-01,08,08,10,1.0,1,1,10,8,4.0,2,3,4,4,4,4
89,1,1698913022000,1,1698913022000,0,1,1698913022000,9,2023-11-01,2023-11-01,09,09,9,1.0,1,1,9,8,4.0,2,3,4,4,4,4
90,1,1698913022000,1,1698913022000,0,1,1698913022000,3,2023-11-01,2023-11-01,10,10,3,1.0,1,1,3,8,4.0,2,3,4,4,4,4
91,1,1698913022000,1,1698913022000,0,1,1698913022000,6,2023-11-01,2023-11-01,11,11,6,1.0,1,1,6,8,4.0,2,3,4,4,4,4
92,1,1698913022000,1,1698913022000,0,1,1698913022000,1,2023-11-01,2023-11-01,12,12,1,1.0,1,1,1,8,4.0,2,3,4,4,4,4
93,1,1698913022000,1,1698913022000,0,1,1698913022000,1,2023-10-30,2023-10-30,09,09,1,0.0,0,0,0,8,4.0,2,1,4,4,12,4
94,1,1698913022000,1,1698913022000,0,1,1698913022000,1,2023-10-30,2023-10-30,10,10,1,0.0,0,0,0,8,4.0,2,1,4,4,12,4
95,1,1698913022000,1,1698913022000,0,1,1698913022000,6,2023-11-01,2023-11-01,04,04,6,0.0,0,0,0,8,4.0,2,1,4,4,12,4
96,1,1698913022000,1,1698913022000,0,1,1698913022000,9,2023-11-01,2023-11-01,05,05,9,0.0,0,0,0,8,4.0,2,1,4,4,12,4
97,1,1698913022000,1,1698913022000,0,1,1698913022000,20,2023-11-01,2023-11-01,06,06,20,0.0,0,0,0,8,4.0,2,1,4,4,12,4
98,1,1698913022000,1,1698913022000,0,1,1698913022000,12,2023-11-01,2023-11-01,07,07,12,0.0,0,0,0,8,4.0,2,1,4,4,12,4
99,1,1698913022000,1,1698913022000,0,1,1698913022000,8,2023-11-01,2023-11-01,08,08,8,0.0,0,0,0,8,4.0,2,1,4,4,12,4
100,1,1698913022000,1,1698913022000,0,1,1698913022000,3,2023-11-01,2023-11-01,09,09,3,0.0,0,0,0,8,4.0,2,1,4,4,12,4
101,1,1698913022000,1,1698913022000,0,1,1698913022000,5,2023-11-01,2023-11-01,10,10,5,0.0,0,0,0,8,4.0,2,1,4,4,12,4
102,1,1698913022000,1,1698913022000,0,1,1698913022000,58,2023-11-01,2023-11-01,11,11,58,0.0,0,0,0,8,4.0,2,1,4,4,12,4
103,1,1698913022000,1,1698913022000,0,1,1698913022000,10,2023-11-01,2023-11-01,02,02,10,1.2,3,1,12,9,4.0,2,3,4,4,4,4
104,1,1698913022000,1,1698913022000,0,1,1698913022000,23,2023-11-01,2023-11-01,03,03,23,1.0,1,1,23,9,4.0,2,3,4,4,4,4
105,1,1698913022000,1,1698913022000,0,1,1698913022000,14,2023-11-01,2023-11-01,04,04,14,1.1428571428571428,3,1,16,9,4.0,2,3,4,4,4,4
106,1,1698913022000,1,1698913022000,0,1,1698913022000,5,2023-11-01,2023-11-01,06,06,5,1.0,1,1,5,9,4.0,2,3,4,4,4,4
107,1,1698913022000,1,1698913022000,0,1,1698913022000,5,2023-11-01,2023-11-01,07,07,5,1.4,3,1,7,9,4.0,2,3,4,4,4,4
108,1,1698913022000,1,1698913022000,0,1,1698913022000,1,2023-11-01,2023-11-01,08,08,1,1.0,1,1,1,9,4.0,2,3,4,4,4,4
